,Area_m2,School_Walk_Min,Subway_Count,School_Count_Near,Mart_Count,Price_Hwansan,House_Age,Life_Infra_Score,Pharm_Parking_Sum,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Orientation_East,Orientation_South,Orientation_West
0,34.19,27,0,0,0,24380.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
1,34.19,14,0,2,1,24380.0,9.0,33,2.0,False,False,False,False,True,False,False,False,False
2,18.0,27,0,0,0,8050.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
3,30.69,27,0,0,0,21275.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
4,70.653,27,0,0,0,4715.0,8.0,43,5.0,False,False,False,False,True,False,True,False,False
5,25.77,50,0,0,1,6440.0,8.0,26,0.0,False,False,False,False,True,False,True,False,False
6,24.57,50,0,0,1,7015.0,8.0,26,0.0,False,False,False,False,True,False,True,False,False
7,18.0,27,0,0,0,12650.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
8,24.43,27,0,0,0,20700.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
9,24.43,27,0,0,0,20700.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
10,32.51,27,0,0,0,11845.0,5.0,43,5.0,False,False,False,False,True,False,True,False,False
11,21.35,27,0,0,0,11500.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
12,26.79,50,0,0,1,5060.0,13.0,26,0.0,False,False,False,False,True,False,True,False,False
13,24.88,27,0,0,0,15640.0,9.0,43,5.0,False,False,False,False,True,False,True,False,False
14,23.45,27,0,0,0,17480.0,9.0,43,5.0,False,False,False,False,True,True,True,False,False
15,19.11,27,0,0,0,8050.0,10.0,43,5.0,False,False,False,False,True,False,True,False,False
16,21.07,27,0,0,0,11465.5,10.0,43,5.0,False,False,False,False,True,True,True,False,False
17,21.99,27,0,0,0,12075.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
18,40.28,27,0,0,0,15525.0,5.0,43,5.0,False,False,False,False,True,False,True,False,False
19,21.07,27,0,0,0,10867.5,10.0,43,5.0,False,False,False,False,True,True,True,False,False
20,21.07,27,0,0,0,10867.5,10.0,43,5.0,False,False,False,False,True,True,True,False,False
21,35.67,27,0,0,0,20125.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
22,42.61,27,0,0,0,5520.0,8.0,43,5.0,False,False,False,False,True,False,True,False,False
23,38.87,27,0,0,0,8050.0,5.0,43,5.0,False,False,False,False,True,False,True,False,False
24,21.35,27,0,0,0,12075.0,10.0,43,5.0,False,False,False,False,True,True,True,False,False
