Area_m2,Deposit,Monthly_Rent,School_Walk_Min,Transit_Min,Conv_Count,Subway_Count,Bank_Count,Hosp_Count,Pharm_Count,School_Count_Near,Cafe_Count,Rest_Count,Mart_Count,Parking_Count,Price_Hwansan,House_Age,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Rent_Type_Monthly,Orientation_East,Orientation_South,Orientation_West
34.19,18400.0,59.8,27,11,6,0,3,4,2,0,15,15,0,3.0,24380.0,9.0,False,False,False,False,True,False,True,True,False,False
34.19,18400.0,59.8,14,11,3,0,0,0,1,2,15,15,1,1.0,24380.0,9.0,False,False,False,False,True,False,True,False,False,False
18.0,1725.0,63.25,27,11,6,0,3,4,2,0,15,15,0,3.0,8050.0,9.0,False,False,False,False,True,False,True,True,False,False
30.69,21275.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,21275.0,9.0,False,False,False,False,True,True,False,True,False,False
70.653,1150.0,35.65,27,11,6,0,3,4,2,0,15,15,0,3.0,4715.0,8.0,False,False,False,False,True,False,True,True,False,False
25.77,1150.0,52.9,50,22,2,0,2,2,0,0,5,15,1,0.0,6440.0,8.0,False,False,False,False,True,False,True,True,False,False
24.57,1150.0,58.65,50,22,2,0,2,2,0,0,5,15,1,0.0,7015.0,8.0,False,False,False,False,True,False,True,True,False,False
18.0,10350.0,23.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12650.0,9.0,False,False,False,False,True,False,True,True,False,False
24.43,20700.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,20700.0,9.0,False,False,False,False,True,True,False,True,False,False
24.43,20700.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,20700.0,9.0,False,False,False,False,True,True,False,True,False,False
32.51,345.0,115.0,27,11,6,0,3,4,2,0,15,15,0,3.0,11845.0,5.0,False,False,False,False,True,False,True,True,False,False
21.35,11500.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,11500.0,10.0,False,False,False,False,True,True,False,True,False,False
26.79,575.0,44.85,50,22,2,0,2,2,0,0,5,15,1,0.0,5060.0,13.0,False,False,False,False,True,False,True,True,False,False
24.88,9890.0,57.5,27,11,6,0,3,4,2,0,15,15,0,3.0,15640.0,9.0,False,False,False,False,True,False,True,True,False,False
23.45,17480.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,17480.0,9.0,False,False,False,False,True,True,False,True,False,False
19.11,5750.0,23.0,27,11,6,0,3,4,2,0,15,15,0,3.0,8050.0,10.0,False,False,False,False,True,False,True,True,False,False
21.07,11465.5,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,11465.5,10.0,False,False,False,False,True,True,False,True,False,False
21.99,12075.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12075.0,10.0,False,False,False,False,True,True,False,True,False,False
40.28,5750.0,97.75,27,11,6,0,3,4,2,0,15,15,0,3.0,15525.0,5.0,False,False,False,False,True,False,True,True,False,False
21.07,10867.5,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,10867.5,10.0,False,False,False,False,True,True,False,True,False,False
21.07,10867.5,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,10867.5,10.0,False,False,False,False,True,True,False,True,False,False
35.67,20125.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,20125.0,10.0,False,False,False,False,True,True,False,True,False,False
42.61,1150.0,43.7,27,11,6,0,3,4,2,0,15,15,0,3.0,5520.0,8.0,False,False,False,False,True,False,True,True,False,False
38.87,1150.0,69.0,27,11,6,0,3,4,2,0,15,15,0,3.0,8050.0,5.0,False,False,False,False,True,False,True,True,False,False
21.35,12075.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12075.0,10.0,False,False,False,False,True,True,False,True,False,False
21.35,12075.0,0.0,27,11,6,0,3,4,2,0,15,15,0,3.0,12075.0,10.0,False,False,False,False,True,True,False,True,False,False
15.09,1000.0,42.0,14,13,2,0,0,0,0,1,3,7,0,0.0,5200.0,12.0,False,True,False,False,False,False,True,True,False,False
47.7,20000.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,20000.0,11.0,False,True,False,False,False,True,False,False,False,True
23.05,4000.0,60.0,17,18,3,0,0,0,0,1,7,15,0,0.0,10000.0,4.0,False,True,False,False,False,False,True,False,False,False
15.6,1000.0,50.0,19,20,1,0,0,0,0,0,1,3,0,0.0,6000.0,8.0,False,True,False,False,False,False,True,False,False,False
36.13,15000.0,15.0,23,21,2,0,0,0,0,0,3,6,0,0.0,16500.0,7.0,False,True,False,False,False,False,True,True,False,False
47.7,15000.0,30.0,14,13,2,0,0,0,0,1,3,7,0,0.0,18000.0,11.0,False,True,False,False,False,False,True,False,False,True
21.715,1000.0,60.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7000.0,12.0,False,True,False,False,False,False,True,True,False,False
23.28,500.0,47.0,23,21,2,0,0,0,0,0,3,6,0,0.0,5200.0,11.0,False,True,False,False,False,False,True,False,False,False
14.04,1000.0,35.0,14,13,2,0,0,0,0,1,3,7,0,0.0,4500.0,12.0,False,True,False,False,False,False,True,True,False,False
13.2,300.0,34.0,17,18,3,0,0,0,0,1,7,15,0,0.0,3700.0,14.0,False,True,False,False,False,False,True,True,False,False
22.06,1000.0,60.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7000.0,12.0,False,True,False,False,False,False,True,True,False,False
15.09,500.0,42.0,14,13,2,0,0,0,0,1,3,7,0,0.0,4700.0,12.0,False,True,False,False,False,False,True,True,False,False
12.96,575.0,36.8,14,13,2,0,0,0,0,1,3,7,0,0.0,4255.0,12.0,False,True,False,False,False,False,True,True,False,False
14.13,11500.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,11500.0,2.0,False,True,False,False,False,True,False,False,False,False
15.09,575.0,48.3,14,13,2,0,0,0,0,1,3,7,0,0.0,5405.0,12.0,False,True,False,False,False,False,True,True,False,False
