전용면적(㎡),보증금(만원),월세금(만원),건축년도,도로명,주택유형,lat,lon,cluster_label,학교까지도보시간(분),도보거리(m),대중교통시간(분),convenience_store_count,convenience_store_min_distance,subway_count,subway_min_distance,bank_count,bank_min_distance,hospital_count,hospital_min_distance,pharmacy_count,pharmacy_min_distance,school_count,school_min_distance,cafe_count,cafe_min_distance,restaurant_count,restaurant_min_distance,mart_count,mart_min_distance,parking_count,parking_min_distance,cluster,cluster_clean,cluster_name,전월세환산값,향,cctv_300m,lamp_300m,cctv_500m,lamp_500m,cctv_1000m,lamp_1000m,bus_count,nearby_bus_count(100m),nearby_bus_count(200m)
34.19,18400.0,59.8,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,19487.272727272728,동향,19,0,40,0,143,25,14.0,1,4
34.19,18400.0,59.8,2017.0,영통로200번길 59,연립다세대,37.24711557329794,127.07276501710452,14,14,1276,11,3,27,0,,0,,0,,1,77.0,2,146.0,15,36,15,11.0,1,158.0,1.0,84.0,-1.0,,,19487.272727272728,Unknown,0,0,0,0,0,0,,3,3
18.0,1725.0,63.25,2017.0,영통로200번길 55,연립다세대,37.24450572,127.0596508,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,2875.0,동향,19,0,40,0,143,25,14.0,1,4
30.69,21275.0,0.0,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,21275.0,동향,19,0,40,0,143,25,14.0,1,4
70.653,1150.0,35.65,2018.0,영통로200번길 39,연립다세대,37.24468621,127.0587773,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,1798.181818181818,동향,19,0,40,0,143,25,14.0,0,4
25.77,1150.0,52.9,2018.0,영통로501번길 1-6,연립다세대,37.26339582,127.0772557,9,50,1207,22,2,97,0,,2,132.0,2,69.0,0,,0,,5,16,15,22.0,1,119.0,0.0,,-1.0,,,2111.818181818182,동향,0,0,0,0,0,0,,2,2
24.57,1150.0,58.65,2018.0,영통로501번길 1-6,연립다세대,37.26339582,127.0772557,9,50,1207,22,2,97,0,,2,132.0,2,69.0,0,,0,,5,16,15,22.0,1,119.0,0.0,,-1.0,,,2216.363636363636,동향,0,0,0,0,0,0,,2,2
18.0,10350.0,23.0,2017.0,영통로200번길 55,연립다세대,37.24450572,127.0596508,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10768.181818181818,동향,19,0,40,0,143,25,14.0,1,4
24.43,20700.0,0.0,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,20700.0,동향,19,0,40,0,143,25,14.0,1,4
24.43,20700.0,0.0,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,20700.0,동향,19,0,40,0,143,25,14.0,1,4
32.51,345.0,115.0,2021.0,영통로200번길 63,연립다세대,37.24439355,127.0600847,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,2435.909090909091,동향,19,0,40,0,143,25,14.0,1,5
21.35,11500.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,11500.0,동향,19,0,40,0,143,25,14.0,1,5
26.79,575.0,44.85,2013.0,영통로501번길 7,연립다세대,37.26377649,127.0771124,9,50,1207,22,2,97,0,,2,132.0,2,69.0,0,,0,,5,16,15,22.0,1,119.0,0.0,,-1.0,,,1390.4545454545455,동향,0,0,0,0,0,0,,2,2
24.88,9890.0,57.5,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10935.454545454546,동향,19,0,40,0,143,25,14.0,1,4
23.45,17480.0,0.0,2017.0,영통로200번길 59,연립다세대,37.24447081,127.0598659,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,17480.0,동향,19,0,40,0,143,25,14.0,1,4
19.11,5750.0,23.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,6168.181818181818,동향,19,0,40,0,143,25,14.0,1,5
21.07,11465.5,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,11465.5,동향,19,0,40,0,143,25,14.0,1,5
21.99,12075.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,12075.0,동향,19,0,40,0,143,25,14.0,1,5
40.28,5750.0,97.75,2021.0,영통로200번길 63,연립다세대,37.24439355,127.0600847,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,7527.272727272727,동향,19,0,40,0,143,25,14.0,1,5
21.07,10867.5,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10867.5,동향,19,0,40,0,143,25,14.0,1,5
21.07,10867.5,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,10867.5,동향,19,0,40,0,143,25,14.0,1,5
35.67,20125.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,20125.0,동향,19,0,40,0,143,25,14.0,1,5
42.61,1150.0,43.7,2018.0,영통로200번길 39,연립다세대,37.24468621,127.0587773,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,1944.5454545454545,동향,19,0,40,0,143,25,14.0,0,4
38.87,1150.0,69.0,2021.0,영통로200번길 63,연립다세대,37.24439355,127.0600847,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,2404.5454545454545,동향,19,0,40,0,143,25,14.0,1,5
21.35,12075.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,12075.0,동향,19,0,40,0,143,25,14.0,1,5
21.35,12075.0,0.0,2016.0,영통로200번길 65,연립다세대,37.24441543,127.0603302,6,27,2936,11,6,65,0,,3,178.0,4,94.0,2,89.0,0,,15,52,15,5.0,0,,3.0,108.0,34.0,24.0,영통로200번길 59,12075.0,동향,19,0,40,0,143,25,14.0,1,5
15.09,1000.0,42.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1763.6363636363635,동향,11,44,27,85,113,103,13.0,0,4
47.7,20000.0,0.0,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,20000.0,서향,11,44,27,85,113,103,13.0,2,2
23.05,4000.0,60.0,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,5090.909090909091,Unknown,11,44,30,80,112,103,12.0,0,1
15.6,1000.0,50.0,2018.0,서그내로53번길 33,다세대,37.24111925,127.070438,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,1909.090909090909,Unknown,11,23,31,64,111,103,15.0,1,4
36.13,15000.0,15.0,2019.0,서그내로62번길 35,다세대,37.242482,127.0682545,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,15272.727272727272,동향,11,28,38,44,131,101,15.0,0,2
47.7,15000.0,30.0,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,15545.454545454546,서향,11,44,27,85,113,103,13.0,2,2
21.715,1000.0,60.0,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2090.909090909091,동향,14,45,37,82,133,102,12.0,1,4
23.28,500.0,47.0,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1354.5454545454545,Unknown,11,28,38,44,131,101,15.0,0,2
14.04,1000.0,35.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1636.3636363636365,동향,11,44,27,85,113,103,13.0,0,4
